Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;;Total;2025;49.128.297
Total Nacional;;Total;2024;48.619.695
Total Nacional;;Total;2023;48.085.361
Total Nacional;;Total;2022;47.486.727
Total Nacional;;Total;2021;47.400.798
Total Nacional;;Hombres;2025;24.090.369
Total Nacional;;Hombres;2024;23.826.871
Total Nacional;;Hombres;2023;23.565.593
Total Nacional;;Hombres;2022;23.288.747
Total Nacional;;Hombres;2021;23.248.611
Total Nacional;;Mujeres;2025;25.037.928
Total Nacional;;Mujeres;2024;24.792.824
Total Nacional;;Mujeres;2023;24.519.768
Total Nacional;;Mujeres;2022;24.197.980
Total Nacional;;Mujeres;2021;24.152.187
Total Nacional;01001 Alegría-Dulantzi;Total;2025;2.961
Total Nacional;01001 Alegría-Dulantzi;Total;2024;2.965
Total Nacional;01001 Alegría-Dulantzi;Total;2023;2.969
Total Nacional;01001 Alegría-Dulantzi;Total;2022;2.969
Total Nacional;01001 Alegría-Dulantzi;Total;2021;2.924
Total Nacional;01001 Alegría-Dulantzi;Hombres;2025;1.523
Total Nacional;01001 Alegría-Dulantzi;Hombres;2024;1.525
Total Nacional;01001 Alegría-Dulantzi;Hombres;2023;1.537
Total Nacional;01001 Alegría-Dulantzi;Hombres;2022;1.536
Total Nacional;01001 Alegría-Dulantzi;Hombres;2021;1.518
Total Nacional;01001 Alegría-Dulantzi;Mujeres;2025;1.438
Total Nacional;01001 Alegría-Dulantzi;Mujeres;2024;1.440
Total Nacional;01001 Alegría-Dulantzi;Mujeres;2023;1.432
Total Nacional;01001 Alegría-Dulantzi;Mujeres;2022;1.433
Total Nacional;01001 Alegría-Dulantzi;Mujeres;2021;1.406
Total Nacional;01002 Amurrio;Total;2025;10.346
Total Nacional;01002 Amurrio;Total;2024;10.312
Total Nacional;01002 Amurrio;Total;2023;10.299
Total Nacional;01002 Amurrio;Total;2022;10.265
Total Nacional;01002 Amurrio;Total;2021;10.295
Total Nacional;01002 Amurrio;Hombres;2025;5.120
Total Nacional;01002 Amurrio;Hombres;2024;5.134
Total Nacional;01002 Amurrio;Hombres;2023;5.132
